nivel_territorial,tipo_grupo,grupo,metodo_media,razao_referencia,n_territorios_grupo,massa_total_grupo,massa_obj4_grupo,massa_com_grupo,razao_dependencia_grupo_ponderada,razao_dependencia_grupo_media_simples,razao_dependencia_grupo_media_pond
tipologia,brasil,Brasil,simples,0.6441140426652133,914,4890143667286.59,1971247276966.49,141522044479.74957,0.071793146467923,0.6441140426652133,0.07179314646792301
tipologia,brasil,Brasil,ponderada_refeita,0.071793146467923,914,4890143667286.59,1971247276966.49,141522044479.74957,0.071793146467923,0.6441140426652133,0.07179314646792301
tipologia,brasil,Brasil,ponderada_massa_obj4,0.07179314646792301,914,4890143667286.59,1971247276966.49,141522044479.74957,0.071793146467923,0.6441140426652133,0.07179314646792301
tipologia,q_pib,1,simples,1.5761206998661368,229,34846597628.54826,13265121572.751207,2351339471.650134,0.1772572877492643,1.5761206998661368,0.1772572877492643
tipologia,q_pib,1,ponderada_refeita,0.1772572877492643,229,34846597628.54826,13265121572.751207,2351339471.650134,0.1772572877492643,1.5761206998661368,0.1772572877492643
tipologia,q_pib,1,ponderada_massa_obj4,0.1772572877492643,229,34846597628.54826,13265121572.751207,2351339471.650134,0.1772572877492643,1.5761206998661368,0.1772572877492643
tipologia,q_pib,2,simples,0.3426627131530694,228,164201002026.08008,61633335784.785774,8221783081.677427,0.1333983140290612,0.3426627131530694,0.1333983140290612
tipologia,q_pib,2,ponderada_refeita,0.1333983140290612,228,164201002026.08008,61633335784.785774,8221783081.677427,0.1333983140290612,0.3426627131530694,0.1333983140290612
tipologia,q_pib,2,ponderada_massa_obj4,0.1333983140290612,228,164201002026.08008,61633335784.785774,8221783081.677427,0.1333983140290612,0.3426627131530694,0.1333983140290612
tipologia,q_pib,3,simples,0.4739991000692625,229,475771675022.38684,183281273096.782,30068816253.505905,0.16405831182560596,0.4739991000692625,0.16405831182560596
tipologia,q_pib,3,ponderada_refeita,0.16405831182560596,229,475771675022.38684,183281273096.782,30068816253.505905,0.16405831182560596,0.4739991000692625,0.16405831182560596
tipologia,q_pib,3,ponderada_massa_obj4,0.16405831182560596,229,475771675022.38684,183281273096.782,30068816253.505905,0.16405831182560596,0.4739991000692625,0.16405831182560596
tipologia,q_pib,4,simples,0.18033202724516983,228,4215324392609.5757,1713067546512.1711,100880105672.9161,0.058888574404616666,0.18033202724516983,0.05888857440461667
tipologia,q_pib,4,ponderada_refeita,0.058888574404616666,228,4215324392609.5757,1713067546512.1711,100880105672.9161,0.058888574404616666,0.18033202724516983,0.05888857440461667
tipologia,q_pib,4,ponderada_massa_obj4,0.05888857440461667,228,4215324392609.5757,1713067546512.1711,100880105672.9161,0.058888574404616666,0.18033202724516983,0.05888857440461667
tipologia,q_pib_pc,1.0,simples,0.9077833413317733,229,154853704370.16522,56250471255.147644,4987788144.822488,0.08867104636685227,0.9077833413317733,0.08867104636685227
tipologia,q_pib_pc,1.0,ponderada_refeita,0.08867104636685227,229,154853704370.16522,56250471255.147644,4987788144.822488,0.08867104636685227,0.9077833413317733,0.08867104636685227
tipologia,q_pib_pc,1.0,ponderada_massa_obj4,0.08867104636685227,229,154853704370.16522,56250471255.147644,4987788144.822488,0.08867104636685227,0.9077833413317733,0.08867104636685227
tipologia,q_pib_pc,2.0,simples,0.6975463781298157,228,544936288527.96765,204671488888.7202,15650043945.435467,0.07646421116301347,0.6975463781298157,0.07646421116301347
tipologia,q_pib_pc,2.0,ponderada_refeita,0.07646421116301347,228,544936288527.96765,204671488888.7202,15650043945.435467,0.07646421116301347,0.6975463781298157,0.07646421116301347
tipologia,q_pib_pc,2.0,ponderada_massa_obj4,0.07646421116301347,228,544936288527.96765,204671488888.7202,15650043945.435467,0.07646421116301347,0.6975463781298157,0.07646421116301347
tipologia,q_pib_pc,3.0,simples,0.5029308792035609,228,1087834014629.2935,442828918379.30896,29936384967.109177,0.06760259713090125,0.5029308792035609,0.06760259713090125
tipologia,q_pib_pc,3.0,ponderada_refeita,0.06760259713090125,228,1087834014629.2935,442828918379.30896,29936384967.109177,0.06760259713090125,0.5029308792035609,0.06760259713090125
tipologia,q_pib_pc,3.0,ponderada_massa_obj4,0.06760259713090125,228,1087834014629.2935,442828918379.30896,29936384967.109177,0.06760259713090125,0.5029308792035609,0.06760259713090125
tipologia,q_pib_pc,4.0,simples,0.4294545639247268,228,3102471469580.1943,1267493677529.0576,90922758565.71573,0.07173428962814792,0.4294545639247268,0.07173428962814793
tipologia,q_pib_pc,4.0,ponderada_refeita,0.07173428962814792,228,3102471469580.1943,1267493677529.0576,90922758565.71573,0.07173428962814792,0.4294545639247268,0.07173428962814793
tipologia,q_pib_pc,4.0,ponderada_massa_obj4,0.07173428962814793,228,3102471469580.1943,1267493677529.0576,90922758565.71573,0.07173428962814792,0.4294545639247268,0.07173428962814793
tipologia,q_pib_pc,,simples,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
tipologia,q_pib_pc,,ponderada_refeita,9.213394584181282,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
tipologia,q_pib_pc,,ponderada_massa_obj4,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
tipologia,q_pop,1,simples,1.6664385291950015,229,58009590944.82299,22436379880.920296,3946267859.7627068,0.17588701389026573,1.6664385291950015,0.17588701389026573
tipologia,q_pop,1,ponderada_refeita,0.17588701389026573,229,58009590944.82299,22436379880.920296,3946267859.7627068,0.17588701389026573,1.6664385291950015,0.17588701389026573
tipologia,q_pop,1,ponderada_massa_obj4,0.17588701389026573,229,58009590944.82299,22436379880.920296,3946267859.7627068,0.17588701389026573,1.6664385291950015,0.17588701389026573
tipologia,q_pop,2,simples,0.4082586404058272,228,238457246598.36127,90823891544.40918,21106813493.82813,0.23239274528891726,0.4082586404058272,0.2323927452889172
tipologia,q_pop,2,ponderada_refeita,0.23239274528891726,228,238457246598.36127,90823891544.40918,21106813493.82813,0.23239274528891726,0.4082586404058272,0.2323927452889172
tipologia,q_pop,2,ponderada_massa_obj4,0.2323927452889172,228,238457246598.36127,90823891544.40918,21106813493.82813,0.23239274528891726,0.4082586404058272,0.2323927452889172
tipologia,q_pop,3,simples,0.35234798232095244,229,540966103745.2929,214835328440.00275,28984127062.384163,0.13491322527280974,0.35234798232095244,0.13491322527280974
tipologia,q_pop,3,ponderada_refeita,0.13491322527280974,229,540966103745.2929,214835328440.00275,28984127062.384163,0.13491322527280974,0.35234798232095244,0.13491322527280974
tipologia,q_pop,3,ponderada_massa_obj4,0.13491322527280974,229,540966103745.2929,214835328440.00275,28984127062.384163,0.13491322527280974,0.35234798232095244,0.13491322527280974
tipologia,q_pop,4,simples,0.1462068151154513,228,4052710725998.1133,1643151677101.1577,87484836063.77458,0.053242094009309605,0.1462068151154513,0.05324209400930961
tipologia,q_pop,4,ponderada_refeita,0.053242094009309605,228,4052710725998.1133,1643151677101.1577,87484836063.77458,0.053242094009309605,0.1462068151154513,0.05324209400930961
tipologia,q_pop,4,ponderada_massa_obj4,0.05324209400930961,228,4052710725998.1133,1643151677101.1577,87484836063.77458,0.053242094009309605,0.1462068151154513,0.05324209400930961
tipologia,q_pib_pop,QPIB1_QPOP1,simples,1.8344807677417914,191,25400165113.18998,10040841582.400892,1799581507.6406345,0.17922616275460965,1.8344807677417914,0.17922616275460965
tipologia,q_pib_pop,QPIB1_QPOP1,ponderada_refeita,0.17922616275460965,191,25400165113.18998,10040841582.400892,1799581507.6406345,0.17922616275460965,1.8344807677417914,0.17922616275460965
tipologia,q_pib_pop,QPIB1_QPOP1,ponderada_massa_obj4,0.17922616275460965,191,25400165113.18998,10040841582.400892,1799581507.6406345,0.17922616275460965,1.8344807677417914,0.17922616275460965
tipologia,q_pib_pop,QPIB1_QPOP2,simples,0.2850219900179207,37,9376718094.237303,3208151149.891452,551757964.009499,0.17198627440860065,0.2850219900179207,0.17198627440860068
tipologia,q_pib_pop,QPIB1_QPOP2,ponderada_refeita,0.17198627440860065,37,9376718094.237303,3208151149.891452,551757964.009499,0.17198627440860065,0.2850219900179207,0.17198627440860068
tipologia,q_pib_pop,QPIB1_QPOP2,ponderada_massa_obj4,0.17198627440860068,37,9376718094.237303,3208151149.891452,551757964.009499,0.17198627440860065,0.2850219900179207,0.17198627440860068
tipologia,q_pib_pop,QPIB1_QPOP3,simples,0.0,1,69714421.12099111,16128840.4588623,0.0,0.0,0.0,0.0
tipologia,q_pib_pop,QPIB1_QPOP3,ponderada_refeita,0.0,1,69714421.12099111,16128840.4588623,0.0,0.0,0.0,0.0
tipologia,q_pib_pop,QPIB1_QPOP3,ponderada_massa_obj4,0.0,1,69714421.12099111,16128840.4588623,0.0,0.0,0.0,0.0
tipologia,q_pib_pop,QPIB2_QPOP1,simples,0.5338077124282776,34,27212156566.908905,10852026028.525846,1169480641.8157432,0.10776611102310515,0.5338077124282776,0.10776611102310515
tipologia,q_pib_pop,QPIB2_QPOP1,ponderada_refeita,0.10776611102310515,34,27212156566.908905,10852026028.525846,1169480641.8157432,0.10776611102310515,0.5338077124282776,0.10776611102310515
