cod_mun6,cod_mun7,municipio_nome,codigo_uf,uf,codigo_rgi,rgi_nome,regioes_capitais,id_tipologia,regiao,regiao_codigo,tipologia_pndr,pib_2021_mil,pib_pc_2021,pop_2021,pop_2022,sem_correspondencia_territorial,massa_total,massa_obj4,massa_com_agr,massa_com_min,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,grupo_q_pib,grupo_q_pib_pc,grupo_q_pop,cruz_q_pib_pop,cruz_q_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop
110001,1100015,Alta Floresta D'Oeste,11,Rondônia,110005,Cacoal,,110005,Norte,1,Média Renda e Médio Dinamismo,684873.0,30417.170012435603,22516.0,21447.0,0,170590990.55290222,29401769.031455994,29831617.646980286,369062.9494628906,30200680.596443176,1.0271722277708002,4,3,3,QPIB4,QPIBPC3,QPOP3,QPIB4_QPOP3,QPIBPC3_QPOP3,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
110002,1100023,Ariquemes,11,Rondônia,110002,Ariquemes,,110002,Norte,1,Média Renda e Médio Dinamismo,2789566.0,25097.761543167668,111148.0,96129.0,0,1498689458.5743186,405301245.0892802,71251153.07975453,55237617.4151001,126488770.49485463,0.31208581771563904,4,3,4,QPIB4,QPIBPC3,QPOP4,QPIB4_QPOP4,QPIBPC3_QPOP4,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
110003,1100031,Cabixi,11,Rondônia,110006,Vilhena,,110006,Norte,1,Média Renda e Médio Dinamismo,227218.0,44842.70771659759,5067.0,5344.0,0,29182360.961982727,8331070.337127686,8670034.032608032,0.0,8670034.032608032,1.0406866923172817,2,4,1,QPIB2,QPIBPC4,QPOP1,QPIB2_QPOP1,QPIBPC4_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
110004,1100049,Cacoal,11,Rondônia,110005,Cacoal,,110005,Norte,1,Média Renda e Médio Dinamismo,2407776.0,27862.618033697465,86416.0,86512.0,0,1416450219.468179,496689092.97550946,25491567.225645542,5632685.143936157,31124252.3695817,0.0626634504557489,4,3,4,QPIB4,QPIBPC3,QPOP4,QPIB4_QPOP4,QPIBPC3_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
110005,1100056,Cerejeiras,11,Rondônia,110006,Vilhena,,110006,Norte,1,Média Renda e Médio Dinamismo,611133.0,37986.88463451019,16088.0,15800.0,0,202460936.10611248,38209231.94625473,19480422.652430534,0.0,19480422.652430534,0.5098354942028612,3,4,3,QPIB3,QPIBPC4,QPOP3,QPIB3_QPOP3,QPIBPC4_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
110006,1100064,Colorado do Oeste,11,Rondônia,110006,Vilhena,,110006,Norte,1,Média Renda e Médio Dinamismo,391797.0,25754.091895089725,15213.0,15653.0,0,143011349.81883436,41033592.38067824,9709596.515640259,297831.02282714844,10007427.538467407,0.24388377809152464,3,3,3,QPIB3,QPIBPC3,QPOP3,QPIB3_QPOP3,QPIBPC3_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
110007,1100072,Corumbiara,11,Rondônia,110006,Vilhena,,110006,Norte,1,Média Renda e Médio Dinamismo,380657.0,53978.587634713556,7052.0,7499.0,0,136065478.7918465,17103870.682502747,94596964.48267126,0.0,94596964.48267126,5.530734313809091,3,4,2,QPIB3,QPIBPC4,QPOP2,QPIB3_QPOP2,QPIBPC4_QPOP2,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
110008,1100080,Costa Marques,11,Rondônia,110004,Ji-Paraná,,110004,Norte,1,Média Renda e Médio Dinamismo,304914.0,15835.575175279148,19255.0,12528.0,0,34345634.371040344,4299041.659492493,7263620.113708496,91687.01953125,7355307.133239746,1.7109178546802102,3,2,3,QPIB3,QPIBPC2,QPOP3,QPIB3_QPOP3,QPIBPC2_QPOP3,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
110009,1100098,Espigão D'Oeste,11,Rondônia,110005,Cacoal,,110005,Norte,1,Média Renda e Médio Dinamismo,695798.0,21079.03904995607,33009.0,29346.0,0,345770148.5623958,119188540.48115444,28769447.076034546,484872.236328125,29254319.31236267,0.2454457382753859,4,2,4,QPIB4,QPIBPC2,QPOP4,QPIB4_QPOP4,QPIBPC2_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
110010,1100106,Guajará-Mirim,11,Rondônia,110001,Porto Velho,,110001,Norte,1,Média Renda e Baixo Dinamismo,873488.0,18612.571915619006,46930.0,38903.0,0,237084094.89478162,38689901.863506794,4004145.7549209595,0.0,4004145.7549209595,0.10349330347352889,4,2,4,QPIB4,QPIBPC2,QPOP4,QPIB4_QPOP4,QPIBPC2_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
