id_tipologia,regiao,tipologia_pndr,n_municipios,pib_2021_mil,pop_2021,pop_2022,massa_total,massa_obj4,massa_com_agr,massa_com_min,sem_correspondencia_territorial,pib_pc_2021,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,grupo_q_pib,grupo_q_pib_pc,grupo_q_pop,cruz_q_pib_pop,cruz_q_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop
110001,Norte,Média Renda e Baixo Dinamismo,3,1782341.0,89933.0,72819.0,436012852.6981436,71728837.48776102,27670707.928998947,45082708.03478819,0,19818.5426928936,72753415.96378714,1.0142840524384762,2,2,2,QPIB2,QPIBPC2,QPOP2,QPIB2_QPOP2,QPIBPC2_QPOP2,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
110002,Norte,Média Renda e Médio Dinamismo,8,5795055.0,242279.0,183056.0,2056838276.6347375,500567222.1860743,168902490.34027317,59211672.144340515,0,23918.932305317423,228114162.4846137,0.4557113457976629,3,2,3,QPIB3,QPIBPC2,QPOP3,QPIB3_QPOP3,QPIBPC2_QPOP3,Abaixo da média simples do grupo,Acima ou igual à média simples do grupo
110003,Norte,Média Renda e Médio Dinamismo,5,3056922.0,122216.0,104758.0,1135615620.8347764,250849327.1482423,48324102.9573555,5853307.928115845,0,25012.45336126203,54177410.885471344,0.2159759067380499,3,2,2,QPIB3,QPIBPC2,QPOP2,QPIB3_QPOP2,QPIBPC2_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
110004,Norte,Média Renda e Médio Dinamismo,13,8110878.0,313023.0,289321.0,3563894942.464768,917831396.0892684,130075634.20766953,7840470.3542022705,0,25911.444206975208,137916104.5618718,0.15026300598291809,4,3,4,QPIB4,QPIBPC3,QPOP4,QPIB4_QPOP4,QPIBPC3_QPOP4,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
110005,Norte,Média Renda e Médio Dinamismo,14,8659168.0,308988.0,292585.0,4009418616.437077,1022933483.1315703,256294880.69683957,26134416.746063232,0,28024.285732779266,282429297.4429028,0.27609742187564756,4,3,4,QPIB4,QPIBPC3,QPOP4,QPIB4_QPOP4,QPIBPC3_QPOP4,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
110006,Norte,Média Renda e Médio Dinamismo,7,5824083.0,161819.0,151080.0,3087352136.768785,720389830.0321826,329685037.5527444,4604265.697845459,0,35991.34217860696,334289303.25058985,0.46403945379914074,3,3,3,QPIB3,QPIBPC3,QPOP3,QPIB3_QPOP3,QPIBPC3_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
1100205,Norte,Média Renda e Baixo Dinamismo,1,17208124.0,548952.0,457313.0,8233445713.441541,2305342519.4441075,70416812.71097541,16775380.90605545,0,31347.22890161617,87192193.61703086,0.03782179562543084,4,3,4,QPIB4,QPIBPC3,QPOP4,QPIB4_QPOP4,QPIBPC3_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
1100809,Norte,Média Renda e Médio Dinamismo,1,618520.0,28068.0,22294.0,136809377.05710617,30031099.398832552,27464262.701698303,3423365.4694519043,0,22036.482827419124,30887628.171150208,1.0285213924719303,1,2,1,QPIB1,QPIBPC2,QPOP1,QPIB1_QPOP1,QPIBPC2_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
120001,Norte,Média Renda e Baixo Dinamismo,7,12411940.0,520759.0,453309.0,5702749943.454331,1517365774.2239175,136503769.70664793,913514.3639450073,0,23834.32643506881,137417284.07059294,0.09056305763907015,4,2,4,QPIB4,QPIBPC2,QPOP4,QPIB4_QPOP4,QPIBPC2_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
120002,Norte,Média Renda e Médio Dinamismo,4,1744735.0,73617.0,70804.0,343792114.720358,107216528.4832083,19271600.056152344,348446.0589904785,0,23700.164364209355,19620046.115142822,0.18299460346932994,2,2,2,QPIB2,QPIBPC2,QPOP2,QPIB2_QPOP2,QPIBPC2_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
