cod_mun6,codigo_municipio7,municipio_nome,codigo_uf,uf,codigo_rgi,rgi_nome,regioes_capitais,id_tipologia,regiao,tipologia_pndr,pib_2021_mil,pib_pc_2021,pop_2021,pop_2022,massa_total,massa_obj4,massa_com_agr,massa_com_min,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,jenks_pib_2021,jenks_pib_pc_2021,jenks_pop_2021,cruz_q_pib_pop,cruz_q_pibpc_pop,cruz_j_pib_pop,cruz_j_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop,flag_dep_j_pib_pop,flag_dep_j_pibpc_pop
510183,,,,,,,,,,,,,,,48190178.96970081,2720914.255615234,25068856.66670704,0,25068856.66670704,9.21339458418128,,,,,,,,,,,,,,
314990,3149903,Perdões,31,Minas Gerais,310043,Lavras,,310043,3,Média Renda e Baixo Dinamismo,565835,26223.98850627983,21577,21207,345220886.7748695,124668008.9397964,4644155.699440002,775819.6109619141,5419975.310401917,.0434752696902321,3,3,3,1,1,1,QPIB3_QPOP3,QPIBPC3_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
170130,1701309,Aragominas,17,Tocantins,170005,Araguaína,,170005,1,Média Renda e Médio Dinamismo,96644,16940.22787028922,5705,5283,15061785.95709229,1410085.910949707,11564165.72317505,0,11564165.72317505,8.201036286779482,1,2,2,1,1,1,QPIB1_QPOP2,QPIBPC2_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
410190,4101903,Assaí,41,Paraná,410021,Londrina,,410021,4,Alta Renda,504239,34088.62898864251,14792,13675,155668707.8622913,72816712.18932533,6730815.56967163,0,6730815.56967163,.092435038156781,3,3,3,1,1,1,QPIB3_QPOP3,QPIBPC3_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
310540,3105400,Barão de Cocais,31,Minas Gerais,310003,Santa Bárbara - Ouro Preto,,310003,3,Média Renda e Baixo Dinamismo,2281681,68659.15382763601,33232,30700,742572528.6264603,124613162.3700855,231431.948791504,138465119.272747,138696551.2215385,1.113016864218782,4,4,4,1,1,1,QPIB4_QPOP4,QPIBPC4_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
310890,3108909,Brazópolis,31,Minas Gerais,310052,Itajubá,,310052,3,Média Renda e Baixo Dinamismo,180723,12581.66248955723,14364,14157,85459875.20192672,50097601.19420028,4812216.112142334,0,4812216.112142334,.0960568170417596,2,2,3,1,1,1,QPIB2_QPOP3,QPIBPC2_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
150100,1501006,Aveiro,15,Pará,150016,Itaituba,,150016,1,Média Renda e Alto Dinamismo,149070,9078.009865416236,16421,18189,13735142.02323914,7874271.461807251,23083.330078125,0,23083.330078125,.0029314877179542,2,1,3,1,1,1,QPIB2_QPOP3,QPIBPC1_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
312050,3120508,Cristina,31,Minas Gerais,310053,São Lourenço,,310053,3,Média Renda e Médio Dinamismo,220906,21634.12006659485,10211,10334,85264236.6391807,60764894.83194117,1044861.989715576,0,1044861.989715576,.0171951583657863,2,2,2,1,1,1,QPIB2_QPOP2,QPIBPC2_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
251590,2515906,Serraria,25,Paraíba,250002,Guarabira,,250002,2,Baixa Renda e Médio Dinamismo,66051,10941.0303130694,6037,4878,4516807.454437256,1492816.229675293,327271.0302734375,0,327271.0302734375,.2192306218057552,1,1,2,1,1,1,QPIB1_QPOP2,QPIBPC1_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
130230,1302306,Jutaí,13,Amazonas,130005,Tefé,,130005,1,Baixa Renda e Alto Dinamismo,258466,19199.67315406329,13462,24978,6167023.893535614,9850,0,0,0,0,3,2,3,1,1,1,QPIB3_QPOP3,QPIBPC2_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
