id_tipologia,regiao,tipologia_pndr,pib_2021_mil,pib_pc_2021,pop_2021,pop_2022,massa_total,massa_obj4,massa_com_agr,massa_com_min,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,jenks_pib_2021,jenks_pib_pc_2021,jenks_pop_2021,cruz_q_pib_pop,cruz_q_pibpc_pop,cruz_j_pib_pop,cruz_j_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop,flag_dep_j_pib_pop,flag_dep_j_pibpc_pop
,,,0,,0,0,48190178.96970081,2720914.255615234,25068856.66670704,0,25068856.66670704,9.21339458418128,1,,1,4,,4,QPIB1_QPOP1,,JPIB4_JPOP4,,Acima ou igual à média simples do grupo,,Acima ou igual à média simples do grupo,
430007,4,Alta Renda,790978,30363.83877159309,26050,24448,447338580.0470552,235042278.3111022,11827070.58233643,60.68000030517578,11827131.26233673,.0503191653319593,1,3,1,1,1,1,QPIB1_QPOP1,QPIBPC3_QPOP1,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420001,4,Alta Renda,2076411,45424.75552930367,45711,52226,1078332792.975682,284026167.7232432,569769.3983459473,30528886.6526828,31098656.05102875,.1094922214397212,2,4,2,1,1,1,QPIB2_QPOP2,QPIBPC4_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
150019,1,Baixa Renda e Baixo Dinamismo,1012160,13230.84967320261,76500,74739,275040912.6696026,31000018.36480713,9216079.972991943,61474.44921875,9277554.422210693,.2992757718086731,2,1,2,1,1,1,QPIB2_QPOP2,QPIBPC1_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420022,4,Alta Renda,8181629,40825.47341633193,200405,200988,6454581468.315443,3563655098.724889,24930072.45896721,12012457.13918304,36942529.59815025,.010366471663144,4,4,3,1,1,1,QPIB4_QPOP3,QPIBPC4_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
2211001,2,Média Renda e Médio Dinamismo,20567753,23610.53739642715,871126,861509,15565610962.28719,5121696816.519103,4293030.26676178,8894526.053497314,13187556.32025909,.0025748412670045,4,2,4,1,1,1,QPIB4_QPOP4,QPIBPC2_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
3118601,3,Alta Renda,29629378,43970.35240832887,673849,618967,21013713752.1516,7065992140.113731,1035317.916259766,85198645.46523666,86233963.38149643,.0122040842491099,4,4,4,1,1,1,QPIB4_QPOP4,QPIBPC4_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
2919207,2,Alta Renda,6062376,29620.39194992891,204669,202495,8455982902.823136,2105774072.470336,380759.7604980469,58546609.36849975,58927369.1289978,.0279837091259599,3,3,3,1,1,1,QPIB3_QPOP3,QPIBPC3_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
1713205,1,Média Renda e Médio Dinamismo,615160,34896.75516224189,17628,18412,160988173.2237413,30750479.77019501,31414359.31432892,187743.9485778809,31602103.2629068,1.027694640834099,1,3,1,1,1,1,QPIB1_QPOP1,QPIBPC3_QPOP1,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
2929503,2,Média Renda e Baixo Dinamismo,733726,16468.24078646137,44554,40899,539961806.4412982,117206707.2714167,8446157.727722168,270039615.8066807,278485773.5344028,2.376022499203145,1,2,2,1,1,1,QPIB1_QPOP2,QPIBPC2_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
