Código CNAE;Descrição;Nível;Seção;Divisão;Grupo;Classe;Subclasse;Vínculos;Remuneração;Massa salarial;Salário relativo;Dif. abs.;Dif. %;Share vínculos;Share massa;Q salário;Q vínculos;Jenks;Rank salário;Rank vínculos;Rank massa;Classificação;Índice
6433600;Bancos de desenvolvimento;Subclasse;K;64;643;64336;6433600;3454;37629,39310654314;129971923,79;13,532342778874716;34848,6925492615;1253,2342778874715;0,00004749002042730844;0,0006426512349981002;4;2;5;1;946;305;Alta remuneração e baixo emprego;0,5066848785082265
6619303;Representações de bancos estrangeiros;Subclasse;K;66;661;66193;6619303;99;35879,85363636364;3552105,51;12,90317058498347;33099,153079081996;1190,317058498347;0,0000013611789294451464;0,000017563523923315903;4;1;5;2;1273;1117;Alta remuneração e baixo emprego;0,47580802097442504
4120400;Construção de edifícios;Subclasse;F;41;412;41204;4120400;2053356;2120,0060397515094;4353127121,76;0,7623999765814355;-660,6945175301335;-23,760002341856445;0,028232170927775434;0,02152420645417908;2;4;1;949;2;4;Baixa remuneração e alto emprego;0,45716080199428266
4711302;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;Subclasse;G;47;471;47113;4711302;2151619;1850,1972857183357;3980919633,7;0,6653709191640007;-930,5032715633072;-33,46290808359993;0,02958321663630138;0,019683812045123608;1;4;1;1120;1;6;Baixa remuneração e alto emprego;0,447985363200074
8610101;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;Subclasse;Q;86;861;86101;8610101;1429616;3617,030250836588;5170964319,08;1,3007622274771378;836,3296935549452;30,07622274771378;0,019656193700986386;0,02556803430221714;3;4;2;376;7;1;Alta remuneração e alto emprego;0,44224040476275017
4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;Subclasse;H;49;493;49302;4930202;1664443;2658,377666450578;4424718098,28;0,9560100455582153;-122,3228908310648;-4,398995444178466;0,022884896372348158;0,021878190823523602;3;4;1;642;4;3;Baixa remuneração e alto emprego;0,4206169740129141
8211300;Serviços combinados de escritório e apoio administrativo;Subclasse;N;82;821;82113;8211300;1488301;3109,940614606857;4628527726,66;1,1184018381494023;329,2400573252139;11,84018381494023;0,020463070321940814;0,022885935462239094;3;4;1;506;6;2;Alta remuneração e alto emprego;0,41576908360253084
6422100;Bancos múltiplos, com carteira comercial;Subclasse;K;64;642;64221;6422100;415350;10117,710174768268;4202390921,09;3,6385471813114387;7337,009617486625;263,8547181311439;0,0057107643267175915;0,02077888544411221;4;4;3;44;34;5;Alta remuneração e alto emprego;0,3681327957877856
0600001;Extração de petróleo e gás natural;Subclasse;B;06;060;06000;0600001;29176;24107,296302097613;703354476,91;8,669504610616693;21326,59574481597;766,9504610616693;0,00040114905500496554;0,003477763581910079;4;3;4;3;411;62;Alta remuneração e alto emprego;0,34900153365820674
1921700;Fabricação de produtos do refino de petróleo;Subclasse;C;19;192;19217;1921700;33342;23003,56640333513;766984911,02;8,27257949191874;20222,86584605349;727,2579491918741;0,0004584285642985866;0,0037923867395262393;4;3;4;4;381;57;Alta remuneração e alto emprego;0,33718447622180864
5611201;Restaurantes e similares;Subclasse;I;56;561;56112;5611201;1568060;1804,454655013201;2829493166,34;0,6489208808506874;-976,2459022684418;-35,10791191493126;0,021559699314199557;0,01399053906984634;1;4;1;1145;5;7;Baixa remuneração e alto emprego;0,3240723907544747
7820500;Locação de mão de obra temporária;Subclasse;N;78;782;78205;7820500;1685226;1509,6769249703007;2544146805,56;0,5429124401823872;-1271,0236323113422;-45,708755981761286;0,02317064770255683;0,012579632884801554;1;4;1;1290;3;8;Baixa remuneração e alto emprego;0,3210523885319739
0892402;Extração de sal-gema;Subclasse;B;08;089;08924;0892402;23;22652,167826086956;520999,86;8,14620897124977;19871,467268805314;714,620897124977;3,162334886589734e-7;0,000002576104082323342;4;1;4;5;1303;1253;Alta remuneração e baixo emprego;0,29136116257200284
6432800;Bancos de investimento;Subclasse;K;64;643;64328;6432800;854;21140,999074941454;18054413,21;7,6027600381425;18360,298517659812;660,27600381425;0,000011741886926728838;0,00008927074869892187;4;1;4;6;1153;844;Alta remuneração e baixo emprego;0,27125141649326895
6423900;Caixas econômicas;Subclasse;K;64;642;64239;6423900;108289;14487,041251927712;1568787210,13;5,209853040087838;11706,34069464607;420,98530400878377;0,0014888960110170247;0,007756929409371702;4;4;4;16;151;17;Alta remuneração e alto emprego;0,26600294731062596
4940000;Transporte dutoviário;Subclasse;H;49;494;49400;4940000;7989;19109,15825384904;152663065,29;6,872066179081782;16328,457696567397;587,2066179081781;0,00010984301482158863;0,0007548484671638182;4;2;4;7;773;279;Alta remuneração e baixo emprego;0,25028023102717833
4781400;Comércio varejista de artigos do vestuário e acessórios;Subclasse;G;47;478;47814;4781400;1107285;1948,7662864845097;2157839677,53;0,7008184615137362;-831,9342707971332;-29,918153848626382;0,015224373847380493;0,010669522257231159;1;4;1;1054;9;9;Baixa remuneração e alto emprego;0,2394512547367314
3513100;Comércio atacadista de energia elétrica;Subclasse;D;35;351;35131;3513100;6486;18060,9381097749;117143244,58;6,495103567509228;15280,237552493256;549,5103567509228;0,0000891778438018305;0,0005792193314200501;4;2;4;9;819;337;Alta remuneração e baixo emprego;0,23378425228705196
6530800;Resseguros;Subclasse;K;65;653;65308;6530800;794;18228,94267002519;14473780,48;6,5555216372687894;15448,242112743546;555,5521637268789;0,000010916929999792386;0,00007156617082618775;4;1;4;8;1164;902;Alta remuneração e baixo emprego;0,2304998219786807
6611801;Bolsa de valores;Subclasse;K;66;661;66118;6611801;1;17114,99;17114,99;6,15492018915236;14334,289442718358;515,492018915236;1,3749282115607538e-8;8,462573407970433e-8;4;1;4;10;1319;1311;Alta remuneração e baixo emprego;0,2141888751824096
8121400;Limpeza em prédios e em domicílios;Subclasse;N;81;812;81214;8121400;1124544;1482,2844006993055;1666894029,1;0,5330614966137731;-1298,4161565823374;-46,69385033862269;0,015461672707413764;0,008242022393566311;1;4;1;1298;8;15;Baixa remuneração e alto emprego;0,21322965226760418
